file,words,em_dashes,em_dashes_per_1000_words
books/symbolic-language/00-copyright.adoc,328,1,3.05
books/symbolic-language/00-how-to-use.adoc,304,6,19.74
books/symbolic-language/01-introduction.adoc,3816,87,22.8
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,4600,97,21.09
books/symbolic-language/03-signs-and-similitudes.adoc,2936,60,20.44
books/symbolic-language/04-sign-of-jonah.adoc,4173,95,22.77
books/symbolic-language/05-gospel.adoc,2471,59,23.88
books/symbolic-language/05x-the-disciple.adoc,821,16,19.49
books/symbolic-language/06-knowing-faith-love-and-belief.adoc,2518,67,26.61
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,2186,55,25.16
books/symbolic-language/08-the-name.adoc,4050,89,21.98
books/symbolic-language/09-the-seal.adoc,1322,24,18.15
books/symbolic-language/10-the-coin.adoc,2770,75,27.08
books/symbolic-language/11-marriage-and-divorce.adoc,3154,74,23.46
books/symbolic-language/12-wings.adoc,2379,60,25.22
books/symbolic-language/13-orphans-widows-and-the-fatherless.adoc,2271,44,19.37
books/symbolic-language/14-the-remnant.adoc,4628,109,23.55
books/symbolic-language/15-heaven-and-hell.adoc,3172,72,22.7
books/symbolic-language/15x-weeping-and-gnashing.adoc,771,18,23.35
books/symbolic-language/16-shadow.adoc,2266,46,20.3
books/symbolic-language/17-justice-and-judgment.adoc,2309,46,19.92
books/symbolic-language/18-liberty.adoc,1860,39,20.97
books/symbolic-language/19-the-fool-and-the-wise.adoc,1739,43,24.73
books/symbolic-language/20-light-and-darkness.adoc,871,21,24.11
books/symbolic-language/21-worship.adoc,2053,41,19.97
books/symbolic-language/22-the-fear-of-the-lord.adoc,1143,18,15.75
books/symbolic-language/23-path-to-salvation.adoc,1993,8,4.01
books/symbolic-language/24-what-is-the-point.adoc,1579,44,27.87
books/symbolic-language/25-spoken-once-heard-twice.adoc,1389,28,20.16
books/symbolic-language/26-noah-uncovered.adoc,1492,47,31.5
books/symbolic-language/27-behold-the-hand.adoc,1178,34,28.86
books/symbolic-language/28-sun-moon-and-stars.adoc,5839,155,26.55
books/symbolic-language/29-lucifers-declared-plan.adoc,2140,56,26.17
books/symbolic-language/30-the-pearl.adoc,5067,155,30.59
books/symbolic-language/31-the-sabbath.adoc,1381,36,26.07
books/symbolic-language/32-time-tested-tradition.adoc,1013,26,25.67
books/symbolic-language/33-the-four-winds.adoc,1262,25,19.81
books/symbolic-language/34-the-fall-of-babylon.adoc,2934,63,21.47
books/symbolic-language/35-daniel-unsealed.adoc,1965,53,26.97
books/symbolic-language/36-clouds.adoc,1582,28,17.7
books/symbolic-language/37-the-moment.adoc,1771,35,19.76
books/symbolic-language/37x-further-studies.adoc,283,11,38.87
books/symbolic-language/38-mountain.adoc,1772,19,10.72
books/symbolic-language/39-sea-and-waters.adoc,6655,133,19.98
books/symbolic-language/40-trees.adoc,2249,53,23.57
books/symbolic-language/41-grass.adoc,1325,21,15.85
books/symbolic-language/42-garments.adoc,3017,56,18.56
books/symbolic-language/43-the-bow.adoc,1751,29,16.56
books/symbolic-language/44-jacob-israel-and-ephraim.adoc,1861,46,24.72
books/symbolic-language/45-foreskin.adoc,691,11,15.92
books/symbolic-language/46-butter.adoc,525,16,30.48
books/symbolic-language/47-the-other-white-meat.adoc,2490,59,23.69
books/symbolic-language/48-glossary.adoc,10086,185,18.34
books/symbolic-language/49-about-the-author.adoc,321,4,12.46
